SIS_CD,PLAN_DESCR,PLAN_TYPE,PLO_NBR,PLO
MA  018L&S,African Cultural Studies MA,MAJ,4,"(Content) Develop a level of proficiency in the different ?ways of knowing? Africa and the diaspora through language, literatures, and cultures."
MA  018L&S,African Cultural Studies MA,MAJ,5,"(Research Skills) Understand their own learning processes and possess the capacity to intentionally seek, evaluate, and learn from information, and recognize and reduce bias in their thinking."
MA  018L&S,African Cultural Studies MA,MAJ,6,"(Research Skills) Effectively retrieve and comprehend primary sources in English and African languages, and secondary sources from a range of disciplines."
MA  018L&S,African Cultural Studies MA,MAJ,7,(Research Skills) Gain firm knowledge of existing research in their area of specialization and its gaps.
MA  018L&S,African Cultural Studies MA,MAJ,8,"(Communication Skills) Develop or improve speaking, listening, writing, reading skills in an African language, and integrate these skills to communicate effectively."
MA  018L&S,African Cultural Studies MA,MAJ,9,"(Communication Skills) Communicate effectively through essays, oral presentations, and discussion, so they may share their knowledge, wisdom, and values with others across social and professional settings."
MA  018L&S,African Cultural Studies MA,MAJ,10,"(Communication Skills) Show knowledge of conventional rhetorical strategies, and integrate research by other authors while distinguishing between their own ideas and those of others."
MA  018L&S,African Cultural Studies MA,MAJ,11,(Communication Skills) Write and speak across disciplinary boundaries with regard to existing research about Africa and the diaspora in the humanities and social sciences.
MA  018L&S,African Cultural Studies MA,MAJ,12,"(Analytical Skills) Discuss cultural texts from various theoretical and critical perspectives, formulate ideas and make connections between literary/cultural concepts and themes."
MA  018L&S,African Cultural Studies MA,MAJ,13,"(Analytical Skills) Demonstrate command of the terminology and methodology of cultural studies, construct complex arguments, and use primary and secondary sources to support arguments."
MA  018L&S,African Cultural Studies MA,MAJ,14,(Analytical Skills) Articulate the place of their own research in relation to existing research on related topics.
PHD 018L&S,African Cultural Studies PHD,MAJ,1,"(Content) Recognize canonical authors and texts, historical forms, genres, and structures, and recognize aesthetic and cultural concerns in Africa and its diasporas."
PHD 018L&S,African Cultural Studies PHD,MAJ,2,(Content) Develop in-depth knowledge in a sub-field of specialization within African cultural studies.
PHD 018L&S,African Cultural Studies PHD,MAJ,3,"(Content) Demonstrate their understanding of major theories, approaches, concepts, and current and classical research findings in African and diaspora literary and cultural studies."
PHD 018L&S,African Cultural Studies PHD,MAJ,4,"(Content) Develop a level of proficiency in the different ?ways of knowing? Africa and the diaspora through language, literatures, and cultures."
PHD 018L&S,African Cultural Studies PHD,MAJ,5,(Content) Develop knowledge of a secondary field of research from outside the Department of African Cultural Studies.
PHD 018L&S,African Cultural Studies PHD,MAJ,6,"(Research Skills) Understand their own learning processes and possess the capacity to intentionally seek, evaluate, and learn from information, and recognize and reduce bias in their thinking."
PHD 018L&S,African Cultural Studies PHD,MAJ,7,"(Research Skills) Effectively retrieve and comprehend primary sources in English and African languages, and secondary sources from a range of disciplines."
PHD 018L&S,African Cultural Studies PHD,MAJ,8,(Research Skills) Gain firm knowledge of existing research in their area of specialization and its gaps.
PHD 018L&S,African Cultural Studies PHD,MAJ,9,(Research Skills) Have an understanding of professional and ethical responsivity with regard to producing original research and working with human subjects.
PHD 018L&S,African Cultural Studies PHD,MAJ,10,"(Communication Skills) Develop or improve speaking, listening, writing, reading skills in an African language, and integrate these skills to communicate effectively."
PHD 018L&S,African Cultural Studies PHD,MAJ,11,"(Communication Skills) Communicate effectively through essays, oral presentations, and discussion, so they may share their knowledge, wisdom, and values with others across social and professional settings."
PHD 018L&S,African Cultural Studies PHD,MAJ,12,"(Communication Skills) Show knowledge of conventional rhetorical strategies, and integrate research by other authors while distinguishing between their own ideas and those of others."
PHD 018L&S,African Cultural Studies PHD,MAJ,13,(Communication Skills) Write and speak across disciplinary boundaries with regard to existing research about Africa and the diaspora in the humanities and social sciences.
PHD 018L&S,African Cultural Studies PHD,MAJ,14,"(Communication Skills) Demonstrate their ability to organize a book-length project into logical smaller components, so that it can be addressed in depth in a multi-chapter piece of writing."
PHD 018L&S,African Cultural Studies PHD,MAJ,15,"(Analytical Skills) Discuss cultural texts from various theoretical and critical perspectives, formulate ideas and make connections between literary/cultural concepts and themes."
PHD 018L&S,African Cultural Studies PHD,MAJ,16,"(Analytical Skills) Demonstrate command of the terminology and methodology of cultural studies, construct complex arguments, and use primary and secondary sources to support arguments."
PHD 018L&S,African Cultural Studies PHD,MAJ,17,(Analytical Skills) Articulate the place of their own research in relation to existing research on related topics.
GCRT100,African Studies GCrt,CRT,1,"Regional expertise: advanced knowledge of the societies and cultures of the region through in-depth understanding of the principal historical, social, political, cultural and scientific forces and conditions that have given rise to the unity and diversity in the region today."
GCRT100,African Studies GCrt,CRT,2,"Multi-disciplinarity: analyzing contemporary political, economic, and cultural realities in the region from at least two disciplinary perspectives, ideally including humanities, social sciences and sometimes natural science approaches."
GCRT100,African Studies GCrt,CRT,3,"Depth of knowledge: advanced knowledge of particular facets of life in the region by taking courses on particular sub-regions or countries, by studying a regional language, or by taking at least two courses on the region in one discipline"
GCRT100,African Studies GCrt,CRT,4,"Research and methods: Students must demonstrate the ability to conduct interdisciplinary research that shows knowledge of research methodologies, demonstrates analytical skills, and the ability to articulate and elaborate research findings."
CERT101,African Studies UCrt,CRT,1,"(Historical Grounding) understanding the historical, political, and cultural forces and conditions that have given rise to the unity and diversity in the region today."
CERT101,African Studies UCrt,CRT,2,"(Multi-disciplinarity) analyzing contemporary political, economic, and cultural realities in the region from at least two disciplinary perspectives, ideally including humanities, social sciences and sometimes natural science approaches.  "
CERT101,African Studies UCrt,CRT,3,"(Depth of knowledge) mastering at the undergraduate generalist level a particular facet of life in the region by taking courses on a particular sub-region or country, or by studying a regional language, or by taking at least two courses on the region in one discipline."
BA  020,Afro-American Studies BA,MAJ,1,"Familiar with the history, culture and social conditions of African Americans in the United States and, secondarily, in the African diaspora."
BA  020,Afro-American Studies BA,MAJ,2,Prepared to interact effectively in a multicultural world.
BA  020,Afro-American Studies BA,MAJ,3,"Prepared to share the results of academic research in the area of race with their communities in Wisconsin, the U.S., and the world."
BA  020,Afro-American Studies BA,MAJ,4,Prepared for careers working in institutions that address the needs of multicultural communities.
BA  020,Afro-American Studies BA,MAJ,5,Develop an understanding of the connection between different disciplinary approaches to the study of race.
MA  020L&S,Afro-American Studies MA,MAJ,1,To provide students with a thorough understanding of a range of disciplinary approaches to the study of the African American experience in the United States and the African diaspora.
MA  020L&S,Afro-American Studies MA,MAJ,2,"To provide students with a foundation in their area of concentration that will enable them to pursue doctoral work in a relevant discipline, especially in the areas of English and history, where we have established Bridge programs with UW departments."
MA  020L&S,Afro-American Studies MA,MAJ,3,"To familiarize students with the techniques of effective teaching in multiracial classrooms, including training in dealing with controversial issues and potential racial tensions."
CERT107,Afro-American Studies UCrt,CRT,1,"To familiarize students with the history, culture and social conditions of African Americans in the United States."
CERT107,Afro-American Studies UCrt,CRT,2,"To introduce students to an interdisciplinary approach to the study of race, gender, and ethnicity in America."
CERT107,Afro-American Studies UCrt,CRT,3,To prepare students for careers in institutions that address the needs of multicultural communities.
ALS 021,Agricultural & Appl Econ BS,MAJ,1,Use economic concepts to think critically about real--world problems and public policy debates.  
ALS 021,Agricultural & Appl Econ BS,MAJ,2,Use appropriate quantitative techniques to analyze economic problems.  
ALS 021,Agricultural & Appl Econ BS,MAJ,3,Communicate results effectively orally and in writing.
MS  021ALS,Agricultural & Appl Econ MS,MAJ,1,"Articulates and critiques theories and empirical methods for quantitative analysis relevant to agricultural, environmental, international development, or community economics."
MS  021ALS,Agricultural & Appl Econ MS,MAJ,2,"Identifies data sources, applies appropriate econometric methodologies, and evaluates quantitative evidence relevant to questions in agricultural, environmental, international development, or community economics."
MS  021ALS,Agricultural & Appl Econ MS,MAJ,3,"Clearly communicates applied economics issues, methods, and empirical analysis using both written and oral strategies."
MS  021ALS,Agricultural & Appl Econ MS,MAJ,4,"Recognizes and applies principles of ethical, collegial and professional conduct."
PHD 021ALS,Agricultural & Appl Econ PHD,MAJ,1,"Articulates and critiques theories and empirical methods to address research issues in agricultural, environmental, international development, or community economics."
PHD 021ALS,Agricultural & Appl Econ PHD,MAJ,2,"Identifies data sources, applies appropriate econometric methodologies, and evaluates quantitative evidence relevant to questions in agricultural, environmental, international development, or community economics."
PHD 021ALS,Agricultural & Appl Econ PHD,MAJ,3,Creates scholarship that makes a substantive contribution to the chosen major field and/or to society.
PHD 021ALS,Agricultural & Appl Econ PHD,MAJ,4,"Clearly communicates applied economics issues, methods, and empirical analysis using both written and oral strategies."
PHD 021ALS,Agricultural & Appl Econ PHD,MAJ,5,"Recognizes and applies principles of ethical, collegial and professional conduct."
ABM 022,Agricultural Business Mgmt BS,MAJ,1,Use economic concepts to think critically about real-world problems and business management issues.
ABM 022,Agricultural Business Mgmt BS,MAJ,2,Use appropriate quantitative techniques to analyze business management issues.
ABM 022,Agricultural Business Mgmt BS,MAJ,3,Communicate results effectively orally and in writing.
MS  051ALS,Agroecology MS,MAJ,1,Analyze tradeoffs of different agricultural systems embedded within the greater complexity of socio-ecological systems.
MS  051ALS,Agroecology MS,MAJ,2,"Consider and synthesize concepts of systems, ecology, and public process."
MS  051ALS,Agroecology MS,MAJ,3,"Learn to engage in careful consideration of the social, economic, and environmental outcomes of different industrial and biological processes."
MS  051ALS,Agroecology MS,MAJ,4,Understand the potential of inclusive participatory processes in research and analysis of agroecological systems.
MS  051ALS,Agroecology MS,MAJ,5,"Recognize and apply principles of ethical and professional conduct in their coursework, research, and communications in the field of agroecology."
ALS 054,Agronomy BS,MAJ,1,"Articulate the role of biological processes, management systems, environmental influences, and economic and social factors on world food, feed, and fiber production.  Specific topics that all students should have knowledge of include: photosynthesis, nutrient cycling, genetic inheritance, and management and uses of primary U.S. crop species."
ALS 054,Agronomy BS,MAJ,2,"Develop a global perspective and appreciate the interdependencies among individuals and their workplaces, communities, environments, and the planet; and an understanding of the role of science in society."
ALS 054,Agronomy BS,MAJ,3,"Communicate effectively through writing and speaking, and will be able to identify and critically evaluate available sources of information."
ALS 054,Agronomy BS,MAJ,4,Demonstrate the ability to critically and creatively analyze problems and evaluate systems.
MS  054ALS,Agronomy MS,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in the field of study."
MS  054ALS,Agronomy MS,MAJ,2,Identifies sources and assembles evidence pertaining to questions or challenges in the field of study.
MS  054ALS,Agronomy MS,MAJ,3,"Demonstrates understanding of the primary field of study in a historical, social, or global context."
MS  054ALS,Agronomy MS,MAJ,4,Selects and/or utilizes the most appropriate methodologies and practices.
MS  054ALS,Agronomy MS,MAJ,5,Evaluates or synthesizes information pertaining to questions or challenges in the field of study.
MS  054ALS,Agronomy MS,MAJ,6,Communicates clearly in ways appropriate to the field of study.
MS  054ALS,Agronomy MS,MAJ,7,Recognizes and applies principles of ethical and professional conduct.
PHD 054ALS,Agronomy PHD,MAJ,1,"Articulates research problems, potentials, and limits with respect to theory, knowledge, or practice within the field of study."
PHD 054ALS,Agronomy PHD,MAJ,2,"Formulates ideas, concepts, designs, and/or techniques beyond the current boundaries of knowledge within the field of study."
PHD 054ALS,Agronomy PHD,MAJ,3,"Creates research, scholarship, or performance that makes a substantive contribution."
PHD 054ALS,Agronomy PHD,MAJ,4,Demonstrates breadth within their learning experiences.
PHD 054ALS,Agronomy PHD,MAJ,5,Advances contributions of the field of study to society.
PHD 054ALS,Agronomy PHD,MAJ,6,Communicates complex ideas in a clear and understandable manner.
PHD 054ALS,Agronomy PHD,MAJ,7,Fosters ethical and professional conduct.
CERT110,American Indian Studies UCrt,CRT,1,Apply knowledge and methods of inquiry characteristic of this interdisciplinary field. 
CERT110,American Indian Studies UCrt,CRT,2,Apply knowledge of historical precedents to contemporary issues. 
CERT110,American Indian Studies UCrt,CRT,3,Demonstrate knowledge of the creativity and ethos contained within the diverse ways of knowing (Indigenous Knowledge Systems) among American Indian nations and communities. 
CERT110,American Indian Studies UCrt,CRT,4,Apply knowledge of the effects (ongoing) of oppression and racism that American Indians experience. 
CERT110,American Indian Studies UCrt,CRT,5,Demonstrate knowledge of the contributions of American Indian value-belief systems and practical knowledge across all fields of human endeavor.
ALS 065,Animal Sciences BS,MAJ,1,"(Knowledge and comprehension) Develop the working vocabulary of an animal scientist, a working knowledge of the basic anatomy, biochemistry, physiology, and genetics of animal and meat biology, and the applied nutrition, breeding, product harvest and processing skills, necessary to manage animal production systems. Demonstrate knowledge through rigorous examination and demonstration through hands-on instructional laboratory activities."
ALS 065,Animal Sciences BS,MAJ,2,"(Analytical processing) Develop the ability to reduce complex datasets and scientific information into meaningful relationships and correlations, and using the scientific literature, develop hypotheses to test the cause of predicted relationships using the scientific method. Demonstrate skills through a senior capstone experience and through individualized research opportunities and instructional activities."
ALS 065,Animal Sciences BS,MAJ,3,"(Integration for application) Apply knowledge to develop solutions to real world problems. Identify problems yet to be investigated and in need of advanced study. Ability to integrate and apply knowledge is demonstrated through our internship programs, animal related job experiences, club activities, and problems sets that students solve in exams and laboratory settings."
ALS 065,Animal Sciences BS,MAJ,4,"(Critical thinking) Find their sources of information using peer reviewed research articles. Learn not only to question popular press, but understand that even in the scientific literature there are contradictory findings. Capacity to synthesize scientific literature such that they can communicate a position backed with strong scientific support. Skills are demonstrated through the reading, writing and discussion of science-based papers in key courses during their educational process and through an oral presentation in their capstone course."
ALS 065,Animal Sciences BS,MAJ,5,"(Effective communication) Communicate, both in writing and orally, the science behind the biology and management of domestically farmed animals. Communications provide new insights into animal production, and are explained in a manner fitting with the audience. Ability to communicate is measured by their effectiveness in presenting research posters and presentations, their analysis of the literature in papers and presentations in class and during their senior capstone course."
MS  065ALS,Animal Sciences MS,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in the field of study."
MS  065ALS,Animal Sciences MS,MAJ,2,Identifies sources and assembles evidence pertaining to questions or challenges in the field of study.
MS  065ALS,Animal Sciences MS,MAJ,3,"Demonstrates understanding of the primary field of study in a historical, social, and global context."
MS  065ALS,Animal Sciences MS,MAJ,4,Selects and/or utilizes the most appropriate methodologies and practices.
MS  065ALS,Animal Sciences MS,MAJ,5,Evaluates or synthesizes information pertaining to questions or challenges in the field of study.
MS  065ALS,Animal Sciences MS,MAJ,6,Communicates clearly in ways appropriate to the field of study.
MS  065ALS,Animal Sciences MS,MAJ,7,Recognizes and applies principles of ethical and professional conduct.
PHD 065ALS,Animal Sciences PHD,MAJ,1,"Articulates research problems, potentials, and limits with respect to theory, knowledge, or practice within the field of study."
PHD 065ALS,Animal Sciences PHD,MAJ,2,"Formulates ideas, concepts, designs, and/or techniques beyond the current boundaries of knowledge within the field of study."
PHD 065ALS,Animal Sciences PHD,MAJ,3,"Creates research, scholarship, or performance that makes a substantive contribution."
PHD 065ALS,Animal Sciences PHD,MAJ,4,Demonstrates breadth within their learning experiences.
PHD 065ALS,Animal Sciences PHD,MAJ,5,Advances contributions of the field of study to society.
PHD 065ALS,Animal Sciences PHD,MAJ,6,Communicates complex ideas in a clear and understandable manner.
PHD 065ALS,Animal Sciences PHD,MAJ,7,Fosters ethical and professional conduct.
BA  067,Anthropology BA,MAJ,1,Acquire specialized training in anthropological research.
BA  067,Anthropology BA,MAJ,2,"Obtain comparative global knowledge of human diversity, material culture, culture history, and the evolution of people?s relationships with the physical, cultural, and natural world."
BA  067,Anthropology BA,MAJ,3,"Gain an awareness of ethnographic, archaeological and bio?anthropological ethics practice and research."
BA  067,Anthropology BA,MAJ,4,Distinguish between empirical and speculative narratives and claims about human diversity past and present.
MA  067L&S,Anthropology MA,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in either biological, archaeological, or cultural anthropology."
MA  067L&S,Anthropology MA,MAJ,2,Identifies relevant data and assembles evidence pertaining to questions or challenges in one of the three subfields of anthropology taught in this department.
MA  067L&S,Anthropology MA,MAJ,3,"Demonstrates understanding of the primary field of study in historical, social, or global/transnational contexts as revealed in the qualifying exam."
MA  067L&S,Anthropology MA,MAJ,4,Selects and/or utilizes the most appropriate methodologies and practices in the sub-discipline.
MA  067L&S,Anthropology MA,MAJ,5,Evaluates or synthesizes information pertaining to questions or challenges in one of the three subfields of anthropology taught in this department.
MA  067L&S,Anthropology MA,MAJ,6,Communicates clearly in ways appropriate to the field of study.
MA  067L&S,Anthropology MA,MAJ,7,"Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment."
MS  067L&S,Anthropology MS,MAJ,1,"Articulates, critiques, or elaborates the theories, research methods, and approaches to inquiry or schools of practice in either biological, archaeological, or cultural anthropology."
MS  067L&S,Anthropology MS,MAJ,2,Identifies relevant data and assembles evidence pertaining to questions or challenges in one of the three subfields of anthropology taught in this department.
MS  067L&S,Anthropology MS,MAJ,3,"Demonstrates understanding of the primary field of study in historical, social, or global/transnational contexts as revealed in the qualifying exam."
MS  067L&S,Anthropology MS,MAJ,4,Selects and/or utilizes the most appropriate methodologies and practices in the sub-discipline.
MS  067L&S,Anthropology MS,MAJ,5,Evaluates or synthesizes information pertaining to questions or challenges in one of the three subfields of anthropology taught in this department.
MS  067L&S,Anthropology MS,MAJ,6,Communicates clearly in ways appropriate to the field of study.
MS  067L&S,Anthropology MS,MAJ,7,"Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment."
PHD 067L&S,Anthropology PHD,MAJ,1,"Articulates research problems, potentials, and limits with respect to theory, knowledge, or practice within in either biological, archaeological or cultural anthropology in seminar papers and preliminary exam."
PHD 067L&S,Anthropology PHD,MAJ,2,"Formulates ideas, concepts, designs, and/or techniques beyond the current boundaries of knowledge in one of the three subfields above in the preliminary exam and dissertation."
PHD 067L&S,Anthropology PHD,MAJ,3,Carry out original anthropological research and produce publishable work in the field including the writing of a dissertation; have a command of one or more foreign languages suited to their research when appropriate; actively compete for major intra- and extramural research grants; and teach effectively as assistants to professors in the department.
PHD 067L&S,Anthropology PHD,MAJ,4,Communicate complex ideas in a clear and understandable manner.
PHD 067L&S,Anthropology PHD,MAJ,5,"Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and colleagiality, and zero tolerance for sexual harassment."
AMP 072,"Appl Math, Engr & Physics BS",MAJ,1,"State, explain and apply principal theorems and techniques of applied mathematics, including (but not limited to) the subject areas of vector and complex calculus, linear algebra, and differential equations."
AMP 072,"Appl Math, Engr & Physics BS",MAJ,2,"State, explain and apply theory and methods of classical and modern physics such as mechanics (classical, statistical, quantum), electricity, magnetism, thermodynamics, radiation and atomic physics."
AMP 072,"Appl Math, Engr & Physics BS",MAJ,3,"Develop strategies to synthesize applied mathematics and physical sciences to address engineering problems, with emphasis on problems of current interest."
AMP 072,"Appl Math, Engr & Physics BS",MAJ,4,"Design and conduct experiments to explore hypotheses regarding science and/or technology and/or engineering problems, and will use mathematics to help interpret experimental results."
AMP 072,"Appl Math, Engr & Physics BS",MAJ,5,"Work in multidisciplinary groups of mathematicians, physical scientists, and engineers to formulate and solve STEM problems, which includes the creation and evaluation of models for natural phenomena."
AMP 072,"Appl Math, Engr & Physics BS",MAJ,6,"Through written and oral presentations, students will communicate technical/scientific ideas and results to experts and non-experts."
UNCS030,Applied Bioinformatics CAP,CAP,1,Demonstrate professional and scientific communication appropriate for biotechnology settings
UNCS030,Applied Bioinformatics CAP,CAP,2,Evaluate  diverse analytical methods and technologies and their applications in bioinformatics
UNCS030,Applied Bioinformatics CAP,CAP,3,Demonstrate comprehensive understanding of organizational processes and product development pipelines and the data generated throughout
GCRT030,Applied Bioinformatics GCrt,CRT,1,Demonstrate professional and scientific communication appropriate for biotechnology settings
GCRT030,Applied Bioinformatics GCrt,CRT,2,Evaluate diverse analytical methods and technologies and their applications in bioinformatics
GCRT030,Applied Bioinformatics GCrt,CRT,3,Demonstrate comprehensive understanding of organizational processes and product development pipelines and the data generated throughout
MS  025MED,Applied Biotechnology MS,MAJ,1,Demonstrate professional and scientific communication appropriate for biotechnology settings
MS  025MED,Applied Biotechnology MS,MAJ,2,Demonstrate comprehensive understanding of organizational processes and product development pipelines
MS  025MED,Applied Biotechnology MS,MAJ,3,Distinguish among diverse methods and technologies and their applications in biotechnology
MS  025MED,Applied Biotechnology MS,MAJ,4,Demonstrate strategic leadership and decision-making skills necessary in biotechnology
MS  025MED,Applied Biotechnology MS,MAJ,5,"Appraise the current regulatory, quality control, and legal frameworks that   impact biotechnology"
MS  025MED,Applied Biotechnology MS,MAJ,6,Demonstrate professional and ethical behaviors that foster positive and productive interactions in diverse biotechnology settings 
UNCS050,Applied Drug Development CAP,CAP,1,Demonstrate critical knowledge and in-depth understanding of principles in pharmaceutical sciences and in the student's area of expertise.
UNCS050,Applied Drug Development CAP,CAP,2,"Identify important research questions, formulate testable hypotheses, and design experiments to test those hypotheses."
UNCS050,Applied Drug Development CAP,CAP,3,Communicate scientific knowledge and research results effectively to a range of audiences.\\n
CERT120,Archaeology UCrt,CRT,1,"acquire specialized training in archaeological research, which may include: obtaining basic knowledge of and skills in observational methods and recording of information for a variety of lines of archaeological evidence, putting these abilities into practice in the classroom and outside of the classroom, developing research questions and the analytical skills necessary to address them, strengthening archaeological interpretations through critical thinking and reference to empirical  evidence, gaining experience in considering a problem, synthesizing information from disparate sources, and evaluating contrasting arguments, being able to distinguish between empirical research and speculation, communicating archaeological findings through written and oral expression."
CERT120,Archaeology UCrt,CRT,2,"obtain comparative global knowledge of archaeology, material culture, and the evolution of people?s relationships with the physical world."
CERT120,Archaeology UCrt,CRT,3,become aware of the ethical practice of archaeology and heritage preservation.
CERT120,Archaeology UCrt,CRT,4,synthesize information relevant to archaeological research across multiple disciplines.
CERT120,Archaeology UCrt,CRT,5,gain an appreciation of cultural diversity through time and space.
BFA 081,Art BFA,MAJ,1,"Learn the fundamentals of art and design through investigation of form, technology and concept within a cohort of like-minded and diverse artists and designers."
BFA 081,Art BFA,MAJ,2,"Develop skills in research, creative problem solving, and professional practices."
BFA 081,Art BFA,MAJ,3,"Expand knowledge of historical, thematic, critical, and theoretical issues as a means of strengthening verbal and visual vocabulary."
BFA 081,Art BFA,MAJ,4,"Demonstrate a broad understanding of distinct concepts and practices in two-dimensional media, three-dimensional media, four-dimensional media, printmaking, photography, or graphic design media."
BFA 081,Art BFA,MAJ,5,Demonstrate competency at an advanced level in at least two disciplines of student's choice. (Graphic design named options: one of the two disciplines must be in graphic design.)
ART 081,Art BS,MAJ,1,"Learn the fundamentals of art and design through investigation of form, technology and concept within a cohort of like-minded and diverse artists and designers."
ART 081,Art BS,MAJ,2,"Develop skills in research, creative problem solving, and professional practices."
ART 081,Art BS,MAJ,3,"Expand knowledge of historical, thematic, critical, and theoretical issues as a means of strengthening verbal and visual vocabulary."
ART 081,Art BS,MAJ,4,"Demonstrate a broad understanding of distinct concepts and practices in two-dimensional media, three-dimensional media, four-dimensional media, and in a choice of printmaking, photography, or graphic design media."
ART 081,Art BS,MAJ,5,Demonstrate competency at an advanced level in at least one discipline of student's choice. (Graphic design named option: Generate advanced level competency in graphic design.)
AED 085,Art Education BSE,MAJ,1,"Identify and explore important eras, developments, movements, and theories in historical and contemporary art practice."
AED 085,Art Education BSE,MAJ,2,Identify and analyze the elements and principles of design in the work of other artists and consistently and effectively employ the elements and principles in their own studio work.
AED 085,Art Education BSE,MAJ,3,"Develop technical skill, a personal creative practice, and knowledge of the historical and current practices of at least four separate visual art disciplines, including 2D, 3D, 4D, and graphics areas."
AED 085,Art Education BSE,MAJ,4,"Examine best practices (historical and contemporary) in art curriculum planning, instruction and assessment, apply knowledge to k-12 curriculum development, and effectively teach art to diverse populations in community and school-based settings."
AED 085,Art Education BSE,MAJ,5,"Meet all School of Education Teacher Education Standards and DPI k-12 art licensure requirements (including child development and learning theories, history of American Education, and the role of art in literacy education)."
